"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",10.95,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",94.65,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",974.89,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",41.33,"provisorisch"
"2023-01-05T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",12.21,"provisorisch"
"2023-01-05T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",10.8,"provisorisch"
"2023-01-05T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",42.15,"provisorisch"
"2023-01-05T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",977.43,"provisorisch"
"2023-01-05T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",12.1,"provisorisch"
"2023-01-05T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",10.55,"provisorisch"
"2023-01-05T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",72.58,"provisorisch"
"2023-01-05T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",975.05,"provisorisch"
"2023-01-05T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",12.14,"provisorisch"
"2023-01-06T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",8.17,"provisorisch"
"2023-01-06T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-06T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",973.08,"provisorisch"
"2023-01-06T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",19.15,"provisorisch"
"2023-01-06T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.44,"provisorisch"
"2023-01-06T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.71,"provisorisch"
"2023-01-06T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-06T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",975.7,"provisorisch"
"2023-01-06T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",9.55,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",7.73,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",973.3,"provisorisch"
"2023-01-06T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",9.51,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.68,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",967.07,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",57.09,"provisorisch"
"2023-01-07T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",8.94,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.44,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",969.72,"provisorisch"
"2023-01-07T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",8.84,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",7.42,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",967.34,"provisorisch"
"2023-01-07T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",9.16,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.14,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",517.72,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",957.88,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",11.19,"provisorisch"
"2023-01-08T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",7.99,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",6.73,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",407.67,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",960.48,"provisorisch"
"2023-01-08T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",7.49,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",6.59,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",352.4,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",958.15,"provisorisch"
"2023-01-08T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",7.37,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.97,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",580.07,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",957.39,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",33.19,"provisorisch"
"2023-01-09T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",8.07,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",5.85,"provisorisch"
